Date,Adj Close 
2008-10-27,56.71
2008-10-24,57.28
2008-10-23,57.77
2008-10-22,58.81
2008-10-21,58.13
2008-10-20,57.63
2008-10-17,56.62
2008-10-16,56.41
2008-10-15,57.31
2008-10-14,56.41
2008-10-13,55.25
2008-10-10,53.19
2008-10-09,57.1
2008-10-08,56.96
2008-10-07,58.13
2008-10-06,59.36
2008-10-03,59.34
2008-10-02,58.9
2008-10-01,58.67
2008-09-30,59.09
2008-09-29,58.89
2008-09-26,59.16
2008-09-25,59.46
2008-09-24,59.57
2008-09-23,59.5
2008-09-22,59.59
2008-09-19,60.53
2008-09-18,60.26
2008-09-17,60.43
2008-09-16,60.28
2008-09-15,60.9
2008-09-12,60.66
2008-09-11,60.9
2008-09-10,60.98
2008-09-09,61.02
2008-09-08,60.76
2008-09-05,60.38
2008-09-04,60.56
2008-09-03,60.34
2008-09-02,60.35
2008-08-29,60.15
2008-08-28,60.17
2008-08-27,60.11
2008-08-26,60.04
2008-08-25,60.11
2008-08-22,59.93
2008-08-21,59.99
2008-08-20,59.98
2008-08-19,59.88
2008-08-18,59.93
2008-08-15,59.83
2008-08-14,59.66
2008-08-13,59.51
2008-08-12,59.62
2008-08-11,59.37
2008-08-08,59.51
2008-08-07,59.6
2008-08-06,59.29
2008-08-05,59.36
2008-08-04,59.46
2008-08-01,59.63
2008-07-31,59.7
2008-07-30,59.4
2008-07-29,59.34
2008-07-28,59.41
2008-07-25,59.14
2008-07-24,59.44
2008-07-23,59.03
2008-07-22,58.96
2008-07-21,59.16
2008-07-18,58.85
2008-07-17,59.2
2008-07-16,59.46
2008-07-15,59.92
2008-07-14,59.69
2008-07-11,59.6
2008-07-10,59.94
2008-07-09,59.88
2008-07-08,59.65
2008-07-07,59.42
2008-07-03,59.21
2008-07-02,59.19
2008-07-01,59.26
2008-06-30,59.47
2008-06-27,59.44
2008-06-26,59.3
2008-06-25,59.22
2008-06-24,59.19
2008-06-23,59.07
2008-06-20,59.15
2008-06-19,58.97
2008-06-18,59.27
2008-06-17,59.03
2008-06-16,58.82
2008-06-13,58.76
2008-06-12,58.91
2008-06-11,59.27
2008-06-10,59.2
2008-06-09,59.51
2008-06-06,59.81
2008-06-05,59.48
2008-06-04,59.7
2008-06-03,59.91
2008-06-02,59.8
2008-05-30,59.58
2008-05-29,59.37
2008-05-28,59.53
2008-05-27,59.81
2008-05-23,60.15
2008-05-22,59.92
2008-05-21,60.28
2008-05-20,60.36
2008-05-19,60.23
2008-05-16,60.13
2008-05-15,60.28
2008-05-14,59.96
2008-05-13,59.87
2008-05-12,60.21
2008-05-09,60.32
2008-05-08,60.29
2008-05-07,60.14
2008-05-06,59.97
2008-05-05,60.16
2008-05-02,60.14
2008-05-01,60.24
2008-04-30,60.34
2008-04-29,59.98
2008-04-28,59.89
2008-04-25,59.74
2008-04-24,59.8
2008-04-23,60.03
2008-04-22,60.09
2008-04-21,60
2008-04-18,59.99
2008-04-17,59.83
2008-04-16,59.84
2008-04-15,60.06
2008-04-14,60.38
2008-04-11,60.46
2008-04-10,60.33
2008-04-09,60.51
2008-04-08,60.25
2008-04-07,60.26
2008-04-04,60.26
2008-04-03,59.96
2008-04-02,59.77
2008-04-01,59.74
2008-03-31,60.15
2008-03-28,60.24
2008-03-27,60.09
2008-03-26,60.07
2008-03-25,60.25
2008-03-24,60.14
2008-03-20,60.58
2008-03-19,60.37
2008-03-18,60.19
2008-03-17,60.33
2008-03-14,60.07
2008-03-13,59.82
2008-03-12,60.08
2008-03-11,59.47
2008-03-10,59.83
2008-03-07,59.51
2008-03-06,59.33
2008-03-05,59.42
2008-03-04,59.8
2008-03-03,60.06
2008-02-29,60.07
2008-02-28,59.84
2008-02-27,59.49
2008-02-26,59.36
2008-02-25,59.08
2008-02-22,59.29
2008-02-21,59.6
2008-02-20,59.12
2008-02-19,59.21
2008-02-15,59.5
2008-02-14,59.53
2008-02-13,59.71
2008-02-12,60.07
2008-02-11,60.09
2008-02-08,59.96
2008-02-07,59.68
2008-02-06,60.21
2008-02-05,60.26
2008-02-04,60.07
2008-02-01,60.1
2008-01-31,60.17
2008-01-30,59.9
2008-01-29,59.81
2008-01-28,60
2008-01-25,59.88
2008-01-24,59.78
2008-01-23,59.93
2008-01-22,60.11
2008-01-18,60.01
2008-01-17,60.03
2008-01-16,59.67
2008-01-15,59.85
2008-01-14,59.63
2008-01-11,59.58
2008-01-10,59.33
2008-01-09,59.45
2008-01-08,59.59
2008-01-07,59.44
2008-01-04,59.36
2008-01-03,59.24
2008-01-02,59.08
2007-12-31,58.81
2007-12-28,58.79
2007-12-27,58.47
2007-12-26,58.15
2007-12-24,58.33
2007-12-21,58.32
2007-12-20,58.57
2007-12-19,58.62
2007-12-18,58.5
2007-12-17,58.2
2007-12-14,58.11
2007-12-13,58.27
2007-12-12,58.5
2007-12-11,58.55
2007-12-10,58.27
2007-12-07,58.39
2007-12-06,58.72
2007-12-05,58.79
2007-12-04,58.9
2007-12-03,59.12
2007-11-30,58.81
2007-11-29,58.69
2007-11-28,58.52
2007-11-27,58.67
2007-11-26,58.91
2007-11-23,58.38
2007-11-21,58.68
2007-11-20,58.23
2007-11-19,58.36
2007-11-16,58.23
2007-11-15,58.27
2007-11-14,58.02
2007-11-13,58.04
2007-11-12,58.04
2007-11-09,58.12
2007-11-08,57.92
2007-11-07,57.86
2007-11-06,57.85
2007-11-05,57.92
2007-11-02,57.97
2007-11-01,57.91
2007-10-31,57.77
2007-10-30,57.93
2007-10-29,57.85
2007-10-26,57.85
2007-10-25,57.91
2007-10-24,58.06
2007-10-23,57.8
2007-10-22,57.82
2007-10-19,57.84
2007-10-18,57.57
2007-10-17,57.41
2007-10-16,57.21
2007-10-15,57.12
2007-10-12,57.1
2007-10-11,57.21
2007-10-10,57.17
2007-10-09,57.1
2007-10-08,57.22
2007-10-05,56.77
2007-10-04,57.22
2007-10-03,57.25
2007-10-02,57.22
2007-10-01,57
2007-09-28,57.19
2007-09-27,57.11
2007-09-26,57.01
2007-09-25,57.07
2007-09-24,57.02
2007-09-21,57.01
2007-09-20,56.85
2007-09-19,57.26
2007-09-18,57.27
2007-09-17,57.15
2007-09-14,57.12
2007-09-13,57.08
2007-09-12,57.25
2007-09-11,57.33
2007-09-10,57.43
2007-09-07,57.3
2007-09-06,56.94
2007-09-05,56.95
2007-09-04,56.77
2007-08-31,56.83
2007-08-30,56.8
2007-08-29,56.68
2007-08-28,56.79
2007-08-27,56.56
2007-08-24,56.39
2007-08-23,56.54
2007-08-22,56.47
2007-08-21,56.51
2007-08-20,56.25
2007-08-17,56.3
2007-08-16,56.18
2007-08-15,56.21
2007-08-14,56.14
2007-08-13,55.98
2007-08-10,55.88
2007-08-09,56.07
2007-08-08,56
2007-08-07,56.07
2007-08-06,56.11
2007-08-03,56.2
2007-08-02,55.96
2007-08-01,55.98
2007-07-31,56.11
2007-07-30,55.94
2007-07-27,55.97
2007-07-26,56.02
2007-07-25,55.83
2007-07-24,55.86
2007-07-23,55.75
2007-07-20,55.78
2007-07-19,55.65
2007-07-18,55.65
2007-07-17,55.51
2007-07-16,55.61
2007-07-13,55.5
2007-07-12,55.43
2007-07-11,55.49
2007-07-10,55.61
2007-07-09,55.37
2007-07-06,55.28
2007-07-05,55.37
2007-07-03,55.6
2007-07-02,55.67
2007-06-29,55.52
2007-06-28,55.41
2007-06-27,55.45
2007-06-26,55.34
2007-06-25,55.41
2007-06-22,55.36
2007-06-21,55.23
2007-06-20,55.3
2007-06-19,55.47
2007-06-18,55.29
2007-06-15,55.25
2007-06-14,55.06
2007-06-13,54.95
2007-06-12,54.86
2007-06-11,55.19
2007-06-08,55.15
2007-06-07,55.22
2007-06-06,55.6
2007-06-05,55.58
2007-06-04,55.74
2007-06-01,55.67
2007-05-31,55.73
2007-05-30,55.85
2007-05-29,55.78
2007-05-25,55.84
2007-05-24,55.87
2007-05-23,55.85
2007-05-22,55.89
2007-05-21,56
2007-05-18,55.89
2007-05-17,56.05
2007-05-16,56.15
2007-05-15,56.14
2007-05-14,56.16
2007-05-11,56.15
2007-05-10,56.26
2007-05-09,56.17
2007-05-08,56.23
2007-05-07,56.3
2007-05-04,56.24
2007-05-03,56.17
2007-05-02,56.23
2007-05-01,56.21
2007-04-30,56.24
2007-04-27,56.05
2007-04-26,56.07
2007-04-25,56.17
2007-04-24,56.15
2007-04-23,56.12
2007-04-20,56.07
2007-04-19,56.09
2007-04-18,56.12
2007-04-17,56.03
2007-04-16,55.87
2007-04-13,55.76
2007-04-12,55.85
2007-04-11,55.78
2007-04-10,55.81
2007-04-09,55.73
2007-04-05,55.94
2007-04-04,55.99
2007-04-03,55.93
2007-04-02,55.99
2007-03-30,55.91
2007-03-29,55.91
2007-03-28,56
2007-03-27,55.98
2007-03-26,55.97
2007-03-23,56
2007-03-22,56.08
2007-03-21,56.18
2007-03-20,56.11
2007-03-19,56.05
2007-03-16,56.09
2007-03-15,56.09
2007-03-14,56.15
2007-03-13,56.22
2007-03-12,56.07
2007-03-09,55.9
2007-03-08,56.05
2007-03-07,56.1
2007-03-06,56.06
2007-03-05,56.1
2007-03-02,56.13
2007-03-01,56.02
2007-02-28,56.02
2007-02-27,56.06
2007-02-26,55.84
2007-02-23,55.71
2007-02-22,55.58
2007-02-21,55.69
2007-02-20,55.7
2007-02-16,55.67
2007-02-15,55.63
2007-02-14,55.55
2007-02-13,55.34
2007-02-12,55.35
2007-02-09,55.4
2007-02-08,55.53
2007-02-07,55.5
2007-02-06,55.43
